Sampler,Epsilon,Likelihood,Perturbation Variance,Burnin Offset,Iter. Time mean,Iter. Time std,W L2-Error mean,W L2-Error std
HMCSampler,0.1,Marginal,1.0,20.0,0.013313320308983445,0.0016292980438629336,0.47944685637950896,0.12320237213865035
HMCSampler,0.1,Recovery,1.0,20.0,0.016671892875182125,0.0011907363931582676,0.7001798367500305,0.08266926008840159
ULASampler,0.01,Recovery,0.5,20.0,0.004616687703944877,0.000557159564832314,4.654149885177612,0.18068946367360883
ULASampler,0.01,Recovery,0.1,20.0,0.004364643202038232,0.0003402389278980243,2.8022101736068725,0.1942170973723358
MALASampler,0.1,Recovery,0.5,20.0,0.015262859254657386,0.0014394746812188277,1.6407002980262042,4.153203731980357
MALASampler,0.1,Recovery,0.1,20.0,0.015680800401614996,0.001891952854270323,193.23397323608398,24.996993937003772
HMCSampler,0.1,Recovery,0.5,20.0,0.016119498633191676,0.0009835426586967085,0.26552736908197405,0.07910325491407187
HMCSampler,0.1,Recovery,0.1,20.0,0.017037884782932566,0.0022335151425179056,10.418827743530274,0.3986510477288978
ULASampler,0.01,Marginal,1.0,10.0,0.0028341069250164145,0.00039716937734064685,0.9642761123180389,0.20859144020459117
ULASampler,0.01,Recovery,1.0,10.0,0.00321905776350675,0.0006765893089972324,1.8555092692375184,0.2940726801897675
MALASampler,0.1,Marginal,1.0,10.0,0.007213503487841161,0.0006423224041058915,0.5236214473843575,0.11439788758860317
MALASampler,0.1,Recovery,1.0,10.0,0.008773728525471354,0.0005583289561486972,0.7919450283050538,0.11131348927897798
HMCSampler,0.1,Marginal,1.0,10.0,0.007574674505031181,0.0005896224885555,0.8017116641998291,0.15248613158332505
HMCSampler,0.1,Recovery,1.0,10.0,0.00943097627712395,0.0007024849688461856,1.3778295564651488,0.11936033786632458
ULASampler,0.01,Recovery,0.5,10.0,0.003090065036842484,0.00037381768283018386,5.239810762405395,0.2623216764556999
ULASampler,0.01,Recovery,0.1,10.0,0.003099671260627334,0.0005469716177381339,2.7527620935440065,0.17163317689712354
MALASampler,0.1,Recovery,0.5,10.0,0.00886409558848532,0.000588387651368067,6.832013867795467,11.210987790814714
MALASampler,0.1,Recovery,0.1,10.0,0.008663568620930215,0.0009180064180375772,198.2632063293457,20.288665116801553
HMCSampler,0.1,Recovery,0.5,10.0,0.009803596488937347,0.0011025195589396642,1.2034490752220153,0.1119906293313032
HMCSampler,0.1,Recovery,0.1,10.0,0.00960615317663831,0.0014787066276737324,13.297200183868409,0.46283529308345395
